ID,D,E,F,H,I,L,Oxygen,Nitrogen,Acid,Basic,Polar,Non_Polar,molecular_weight,aromaticity,flexibility_mean,flexibility_max,flexibility_min,gravy,secondary_structure_fraction_a,molar_extinction_coefficient_reduced_cysteines,molar_extinction_coefficient_disulfid_bridges,type
Q6UWU4,0.040345821,0.074927954,0.057636888,0.037463977,0.057636888,0.106628242,0.409221902,0.365994236,0.115273775,0.141210375,0.541786744,0.458213256,39869.916,0.106628242,0.996631199,1.062357143,0.933416667,-0.219884726,0.325648415,57410.0,58035,Single-pass membrane protein
Q6PHW0,0.048442907,0.093425606,0.027681661,0.034602076,0.069204152,0.093425606,0.470588235,0.415224913,0.141868512,0.176470588,0.546712803,0.453287197,33359.2629,0.076124567,1.002698639,1.079714286,0.924940476,-0.361591696,0.325259516,44920.0,45045,Single-pass membrane protein
Q03519,0.039358601,0.045189504,0.034985423,0.017492711,0.027696793,0.170553936,0.39941691,0.355685131,0.084548105,0.106413994,0.454810496,0.545189504,75662.9381,0.080174927,0.991656292,1.063380952,0.924797619,0.13877551,0.358600583,94310.0,94935,Multi-pass membrane protein
Q16620,0.054744526,0.053527981,0.03649635,0.03892944,0.065693431,0.091240876,0.472019465,0.355231144,0.108272506,0.126520681,0.54136253,0.45863747,91997.8621,0.086374696,0.997479485,1.065059524,0.925678571,-0.228588808,0.310218978,125250.0,126625,Single-pass membrane protein
Q6IEE7,0.046554935,0.068901304,0.029795158,0.027001862,0.029795158,0.109869646,0.462756052,0.344506518,0.115456238,0.119180633,0.551210428,0.448789572,116148.1738,0.057728119,1.001563716,1.089666667,0.919654762,-0.223929236,0.279329609,92820.0,93570,Single-pass membrane protein
Q9BQB6,0.030674847,0.012269939,0.049079755,0.018404908,0.049079755,0.159509202,0.319018405,0.36809816,0.042944785,0.116564417,0.411042945,0.588957055,18234.3128,0.122699387,0.977115955,1.063345238,0.921571429,0.54601227,0.417177914,41940.0,42315,Multi-pass membrane protein
Q99884,0.029874214,0.039308176,0.062893082,0.01572327,0.053459119,0.149371069,0.352201258,0.237421384,0.06918239,0.078616352,0.385220126,0.614779874,70909.8069,0.13836478,0.98268928,1.05975,0.921583333,0.523899371,0.413522013,139690.0,140565,Multi-pass membrane protein
P43657,0.023255814,0.023255814,0.093023256,0.014534884,0.090116279,0.087209302,0.386627907,0.287790698,0.046511628,0.104651163,0.473837209,0.526162791,39391.1679,0.148255814,0.980571038,1.057440476,0.917761905,0.528197674,0.421511628,44350.0,45225,Multi-pass membrane protein
P11836,0.013468013,0.097643098,0.043771044,0.01010101,0.107744108,0.084175084,0.488215488,0.255892256,0.111111111,0.090909091,0.535353535,0.464646465,33076.9617,0.077441077,1.00127877,1.083202381,0.935547619,-0.048484848,0.30976431,26930.0,27180,Multi-pass membrane protein
Q6EMK4,0.03268945,0.052005944,0.020802377,0.019316493,0.016344725,0.169390788,0.386329866,0.349182764,0.084695394,0.104011887,0.530460624,0.469539376,71711.8239,0.040118871,0.998103109,1.055428571,0.934511905,-0.06166419,0.283803863,31400.0,32525,Single-pass membrane protein
A0A0K2S4Q6,0.034825871,0.049751244,0.029850746,0.009950249,0.034825871,0.129353234,0.437810945,0.258706468,0.084577114,0.07960199,0.532338308,0.467661692,21805.9293,0.074626866,0.994193452,1.061488095,0.940916667,0.107960199,0.31840796,33460.0,33960,Single-pass membrane protein
O75460,0.055271238,0.068577277,0.039918117,0.033776868,0.045035824,0.109518936,0.499488229,0.346980553,0.123848516,0.138178096,0.562947799,0.437052201,109733.7119,0.084953941,1.001448937,1.075190476,0.924761905,-0.344216991,0.303991812,109670.0,110545,Single-pass membrane protein
P14415,0.051724138,0.044827586,0.062068966,0.017241379,0.04137931,0.062068966,0.479310345,0.396551724,0.096551724,0.127586207,0.531034483,0.468965517,33366.6895,0.127586207,0.996755635,1.061988095,0.926904762,-0.400344828,0.317241379,48360.0,48735,Single-pass membrane protein
Q15849,0.02826087,0.041304348,0.048913043,0.018478261,0.072826087,0.12826087,0.386956522,0.242391304,0.069565217,0.083695652,0.44673913,0.55326087,101207.9252,0.114130435,0.988379123,1.076857143,0.929369048,0.36,0.373913043,189650.0,190900,Multi-pass membrane protein
P32247,0.025062657,0.035087719,0.062656642,0.020050125,0.080200501,0.105263158,0.413533835,0.280701754,0.060150376,0.105263158,0.501253133,0.498746867,44410.3336,0.110275689,0.988273901,1.06122619,0.921535714,0.332330827,0.37593985,48360.0,49110,Multi-pass membrane protein
Q92508,0.035700119,0.06307021,0.050376835,0.022213407,0.041650139,0.145577152,0.406584689,0.376437921,0.098770329,0.120983737,0.472034907,0.527965093,286786.2207,0.109083697,0.989440543,1.094380952,0.917607143,0.079690599,0.368107894,461120.0,464620,Multi-pass membrane protein
Q96C03,0.057268722,0.070484581,0.028634361,0.013215859,0.019823789,0.182819383,0.414096916,0.339207048,0.127753304,0.107929515,0.473568282,0.526431718,49268.1518,0.059471366,0.996246549,1.070857143,0.929107143,0.07753304,0.332599119,52940.0,53440,Single-pass membrane protein
P43627,0.043103448,0.054597701,0.043103448,0.045977011,0.040229885,0.08908046,0.468390805,0.359195402,0.097701149,0.132183908,0.577586207,0.422413793,38472.0422,0.086206897,0.999952346,1.070095238,0.923095238,-0.318678161,0.281609195,42400.0,42900,Single-pass membrane protein
Q9Y3D6,0.039473684,0.098684211,0.026315789,0.0,0.032894737,0.138157895,0.473684211,0.315789474,0.138157895,0.157894737,0.467105263,0.532894737,16937.4893,0.078947368,1.006016067,1.073928571,0.941845238,-0.232894737,0.335526316,15930.0,15930,Single-pass membrane protein
O00258,0.034482759,0.034482759,0.045977011,0.017241379,0.063218391,0.103448276,0.344827586,0.356321839,0.068965517,0.137931034,0.442528736,0.557471264,19779.3331,0.103448276,0.987021212,1.069535714,0.930047619,0.368390805,0.385057471,38960.0,39085,Multi-pass membrane protein
